SEGEMENT,SUB_SEGMENT,PARTICULARS,ROW_TYPE,FISCAL_YEAR,PERIOD,METRIC,VALUE,SN
ADMINISTRATIVE EXPENSES,,AGM Expenses,LINE,2082/83,SHRAWAN_2082,BUDGET,0.0,F.
ADMINISTRATIVE EXPENSES,,Meeting Allowance,LINE,2082/83,SHRAWAN_2082,BUDGET,0.0,
ADMINISTRATIVE EXPENSES,,Audit Fee - Internal,LINE,2082/83,SHRAWAN_2082,BUDGET,0.0,
ADMINISTRATIVE EXPENSES,,ISO 27001:200 Certification,LINE,2082/83,SHRAWAN_2082,BUDGET,0.0,
ADMINISTRATIVE EXPENSES,,Audit Fee - Statutory,LINE,2082/83,SHRAWAN_2082,BUDGET,0.0,
ADMINISTRATIVE EXPENSES,,Tax Audit Fee,LINE,2082/83,SHRAWAN_2082,BUDGET,0.0,
ADMINISTRATIVE EXPENSES,,Insurance Expenses,LINE,2082/83,SHRAWAN_2082,BUDGET,82374.10083333333,
ADMINISTRATIVE EXPENSES,,Electricity Expenses,LINE,2082/83,SHRAWAN_2082,BUDGET,120978.43083333335,
ADMINISTRATIVE EXPENSES,,Security Guard Expenses,LINE,2082/83,SHRAWAN_2082,BUDGET,70591.5,
ADMINISTRATIVE EXPENSES,,Outsourcing Cost (Kitchen Staff),LINE,2082/83,SHRAWAN_2082,BUDGET,34886.25,
ADMINISTRATIVE EXPENSES,,Printing and Stationery,LINE,2082/83,SHRAWAN_2082,BUDGET,40631.22891666667,
ADMINISTRATIVE EXPENSES,,Fuel and Lubricants,LINE,2082/83,SHRAWAN_2082,BUDGET,53236.76318583334,
ADMINISTRATIVE EXPENSES,,Subtotal,LINE,2082/83,SHRAWAN_2082,BUDGET,402698.27376916667,
ADMINISTRATIVE EXPENSES,,Repair and Maintenance,LINE,2082/83,SHRAWAN_2082,BUDGET,45286.97983333334,
ADMINISTRATIVE EXPENSES,,Office Rent,LINE,2082/83,SHRAWAN_2082,BUDGET,321981.0,
ADMINISTRATIVE EXPENSES,,Other Expenses,LINE,2082/83,SHRAWAN_2082,BUDGET,167380.08283333335,
ADMINISTRATIVE EXPENSES,,Subtotal (G),LINE,2082/83,SHRAWAN_2082,BUDGET,937346.3364358335,
Human Resource Cost,,"Staff Expenses (Salary, Allowances, Provident Fund and Gratuity)",LINE,2082/83,SHRAWAN_2082,BUDGET,3607485.019999999,G.
Human Resource Cost,,Training Related Expenses,LINE,2082/83,SHRAWAN_2082,BUDGET,108224.55059999997,
Human Resource Cost,,Staff Refreshment,LINE,2082/83,SHRAWAN_2082,BUDGET,62052.83067065887,
Human Resource Cost,,Subtotal (H),LINE,2082/83,SHRAWAN_2082,BUDGET,3777762.4012706582,
Financial Overhead,,Bank Charges,LINE,2082/83,SHRAWAN_2082,BUDGET,33542.019525,H.
Financial Overhead,,Subtotal (I),LINE,2082/83,SHRAWAN_2082,BUDGET,33542.019525,
Business Promotion,,User activation and engagement campaign - Card (Pegged with UPI Incentive),LINE,2082/83,SHRAWAN_2082,BUDGET,0.0,I.
Business Promotion,,Digital Literacy/Financial Literacy,LINE,2082/83,SHRAWAN_2082,BUDGET,0.0,
Business Promotion,,Others,LINE,2082/83,SHRAWAN_2082,BUDGET,251538.1050416367,
Business Promotion,,Subtotal (J),LINE,2082/83,SHRAWAN_2082,BUDGET,251538.1050416367,
CARD SEGMENT,I. SCT UPI CARD,Card Purchase Cost (UPI Debit Card),LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
CARD SEGMENT,I. SCT UPI CARD,"Service Fee to UPI (Dispute Management, Connectivity and Royalty)",LINE,2082/83,SHRAWAN_2082,ACTUAL,420384.4550548706,
CARD SEGMENT,I. SCT UPI CARD,Card Personalization Cost to Lead,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
CARD SEGMENT,I. SCT UPI CARD,SMS Cost,LINE,2082/83,SHRAWAN_2082,ACTUAL,6710.0,
CARD SEGMENT,I. SCT UPI CARD,Annual Maintenance Cost - Card Printing Machine,LINE,2082/83,SHRAWAN_2082,ACTUAL,50958.904109589035,
CARD SEGMENT,I. SCT UPI CARD,Subtotal (A),LINE,2082/83,SHRAWAN_2082,ACTUAL,478053.35916445963,
SMARTQR SEGMENT,,DC - Cloud Cost,LINE,2082/83,SHRAWAN_2082,ACTUAL,65500.352539438245,B
SMARTQR SEGMENT,,SMS Cost,LINE,2082/83,SHRAWAN_2082,ACTUAL,14351.04,
SMARTQR SEGMENT,,Annual Maintenance Cost (Smart QR Switch),LINE,2082/83,SHRAWAN_2082,ACTUAL,300000.0,
SMARTQR SEGMENT,,Subtotal (B),LINE,2082/83,SHRAWAN_2082,ACTUAL,379851.3925394382,
SMARTBANKING SEGMENT,,Sharing of Commission on SmartBanking,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,C
SMARTBANKING SEGMENT,,Subtotal (C),LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
SMARTPAY SEGMENT,,Sharing of Commission on IBFT Project,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,D
SMARTPAY SEGMENT,,DC - Cloud Cost,LINE,2082/83,SHRAWAN_2082,ACTUAL,51100.0,
SMARTPAY SEGMENT,,Subtotal (D),LINE,2082/83,SHRAWAN_2082,ACTUAL,51100.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Server,LINE,2082/83,SHRAWAN_2082,ACTUAL,149741.3903469466,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC CISCO Switch,LINE,2082/83,SHRAWAN_2082,ACTUAL,46975.39102777778,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,NAC Device,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Oracle DBA,LINE,2082/83,SHRAWAN_2082,ACTUAL,38938.05309734514,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Auxculiary Infra Dedicated Cloud Cost,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Two Factor Authentication,LINE,2082/83,SHRAWAN_2082,ACTUAL,11282.956768298223,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC S2M Switch,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Fortigate 400F and 200F,LINE,2082/83,SHRAWAN_2082,ACTUAL,200785.90191705964,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Subscription Fee - Rigo HR,LINE,2082/83,SHRAWAN_2082,ACTUAL,10600.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Accounting Software,LINE,2082/83,SHRAWAN_2082,ACTUAL,1666.6666666666667,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Antivirus Renewal Charges,LINE,2082/83,SHRAWAN_2082,ACTUAL,16476.712328767124,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Microsoft License Renewal Fee (Including Defender),LINE,2082/83,SHRAWAN_2082,ACTUAL,26285.87161643836,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,VAPT Fee,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Domain Validation Charges,LINE,2082/83,SHRAWAN_2082,ACTUAL,2787.465940054496,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,National Payment Switch Access Fee,LINE,2082/83,SHRAWAN_2082,ACTUAL,26413.698630136983,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Others,LINE,2082/83,SHRAWAN_2082,ACTUAL,88982.3803972603,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,SubTotal,LINE,2082/83,SHRAWAN_2082,ACTUAL,620936.4887367514,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,DR Site Cost,LINE,2082/83,SHRAWAN_2082,ACTUAL,73288.04347826086,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,PCI-DSS and PCI-PIN Certification Fee,LINE,2082/83,SHRAWAN_2082,ACTUAL,162030.8060311284,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Windows Server and Windows 11 License,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Communication Expenses,LINE,2082/83,SHRAWAN_2082,ACTUAL,58069.693043478255,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Subtotal (F),LINE,2082/83,SHRAWAN_2082,ACTUAL,914325.0312896189,
ADMINISTRATIVE EXPENSES,,AGM Expenses,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,F.
ADMINISTRATIVE EXPENSES,,Meeting Allowance,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
ADMINISTRATIVE EXPENSES,,Audit Fee - Internal,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
ADMINISTRATIVE EXPENSES,,ISO 27001:200 Certification,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
ADMINISTRATIVE EXPENSES,,Audit Fee - Statutory,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
ADMINISTRATIVE EXPENSES,,Tax Audit Fee,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
ADMINISTRATIVE EXPENSES,,Insurance Expenses,LINE,2082/83,SHRAWAN_2082,ACTUAL,73040.26100097847,
ADMINISTRATIVE EXPENSES,,Electricity Expenses,LINE,2082/83,SHRAWAN_2082,ACTUAL,132884.5,
ADMINISTRATIVE EXPENSES,,Security Guard Expenses,LINE,2082/83,SHRAWAN_2082,ACTUAL,76000.0,
ADMINISTRATIVE EXPENSES,,Outsourcing Cost (Kitchen Staff),LINE,2082/83,SHRAWAN_2082,ACTUAL,36746.96,
ADMINISTRATIVE EXPENSES,,Printing and Stationery,LINE,2082/83,SHRAWAN_2082,ACTUAL,25022.0,
ADMINISTRATIVE EXPENSES,,Fuel and Lubricants,LINE,2082/83,SHRAWAN_2082,ACTUAL,32378.14,
ADMINISTRATIVE EXPENSES,,Subtotal,LINE,2082/83,SHRAWAN_2082,ACTUAL,376071.8610009785,
ADMINISTRATIVE EXPENSES,,Repair and Maintenance,LINE,2082/83,SHRAWAN_2082,ACTUAL,36659.72,
ADMINISTRATIVE EXPENSES,,Office Rent,LINE,2082/83,SHRAWAN_2082,ACTUAL,321981.0,
ADMINISTRATIVE EXPENSES,,Other Expenses,LINE,2082/83,SHRAWAN_2082,ACTUAL,73632.09708551483,
ADMINISTRATIVE EXPENSES,,Subtotal (G),LINE,2082/83,SHRAWAN_2082,ACTUAL,808344.6780864933,
Human Resource Cost,,"Staff Expenses (Salary, Allowances, Provident Fund and Gratuity)",LINE,2082/83,SHRAWAN_2082,ACTUAL,3992040.63,G.
Human Resource Cost,,Training Related Expenses,LINE,2082/83,SHRAWAN_2082,ACTUAL,107738.91,
Human Resource Cost,,Staff Refreshment,LINE,2082/83,SHRAWAN_2082,ACTUAL,32205.0,
Human Resource Cost,,Subtotal (H),LINE,2082/83,SHRAWAN_2082,ACTUAL,4131984.54,
Financial Overhead,,Bank Charges,LINE,2082/83,SHRAWAN_2082,ACTUAL,68410.18666666665,H.
Financial Overhead,,Subtotal (I),LINE,2082/83,SHRAWAN_2082,ACTUAL,68410.18666666665,
Business Promotion,,User activation and engagement campaign - Card (Pegged with UPI Incentive),LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,I.
Business Promotion,,Digital Literacy/Financial Literacy,LINE,2082/83,SHRAWAN_2082,ACTUAL,0.0,
Business Promotion,,Others,LINE,2082/83,SHRAWAN_2082,ACTUAL,239637.19999999998,
Business Promotion,,Subtotal (J),LINE,2082/83,SHRAWAN_2082,ACTUAL,239637.19999999998,
CARD SEGMENT,I. SCT UPI CARD,Card Purchase Cost (UPI Debit Card),LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
CARD SEGMENT,I. SCT UPI CARD,"Service Fee to UPI (Dispute Management, Connectivity and Royalty)",LINE,2082/83,SHRAWAN_2082,VARIANCE,-50665.10972987057,
CARD SEGMENT,I. SCT UPI CARD,Card Personalization Cost to Lead,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
CARD SEGMENT,I. SCT UPI CARD,SMS Cost,LINE,2082/83,SHRAWAN_2082,VARIANCE,29290.0,
CARD SEGMENT,I. SCT UPI CARD,Annual Maintenance Cost - Card Printing Machine,LINE,2082/83,SHRAWAN_2082,VARIANCE,-958.9041095890352,
CARD SEGMENT,I. SCT UPI CARD,Subtotal (A),LINE,2082/83,SHRAWAN_2082,VARIANCE,-22334.013839459607,
SMARTQR SEGMENT,,DC - Cloud Cost,LINE,2082/83,SHRAWAN_2082,VARIANCE,-815.352539438245,B
SMARTQR SEGMENT,,SMS Cost,LINE,2082/83,SHRAWAN_2082,VARIANCE,72048.95999999999,
SMARTQR SEGMENT,,Annual Maintenance Cost (Smart QR Switch),LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
SMARTQR SEGMENT,,Subtotal (B),LINE,2082/83,SHRAWAN_2082,VARIANCE,71233.60746056175,
SMARTBANKING SEGMENT,,Sharing of Commission on SmartBanking,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,C
SMARTBANKING SEGMENT,,Subtotal (C),LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
SMARTPAY SEGMENT,,Sharing of Commission on IBFT Project,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,D
SMARTPAY SEGMENT,,DC - Cloud Cost,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
SMARTPAY SEGMENT,,Subtotal (D),LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Server,LINE,2082/83,SHRAWAN_2082,VARIANCE,-39741.3903469466,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC CISCO Switch,LINE,2082/83,SHRAWAN_2082,VARIANCE,6260.228441248779,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,NAC Device,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Oracle DBA,LINE,2082/83,SHRAWAN_2082,VARIANCE,3893.8055693215356,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Auxculiary Infra Dedicated Cloud Cost,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Two Factor Authentication,LINE,2082/83,SHRAWAN_2082,VARIANCE,-151.5699069843904,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC S2M Switch,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Fortigate 400F and 200F,LINE,2082/83,SHRAWAN_2082,VARIANCE,6968.522861701436,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Subscription Fee - Rigo HR,LINE,2082/83,SHRAWAN_2082,VARIANCE,-600.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Accounting Software,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Antivirus Renewal Charges,LINE,2082/83,SHRAWAN_2082,VARIANCE,-11313.490273970523,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Microsoft License Renewal Fee (Including Defender),LINE,2082/83,SHRAWAN_2082,VARIANCE,4910.0867168949735,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,VAPT Fee,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Domain Validation Charges,LINE,2082/83,SHRAWAN_2082,VARIANCE,278.3651432788379,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,National Payment Switch Access Fee,LINE,2082/83,SHRAWAN_2082,VARIANCE,875.9737448630149,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Others,LINE,2082/83,SHRAWAN_2082,VARIANCE,-71482.3803972603,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,SubTotal,LINE,2082/83,SHRAWAN_2082,VARIANCE,-100101.84844785323,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,DR Site Cost,LINE,2082/83,SHRAWAN_2082,VARIANCE,-788.0434782608645,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,PCI-DSS and PCI-PIN Certification Fee,LINE,2082/83,SHRAWAN_2082,VARIANCE,73727.6425938716,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Windows Server and Windows 11 License,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Communication Expenses,LINE,2082/83,SHRAWAN_2082,VARIANCE,45245.09808152173,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Subtotal (F),LINE,2082/83,SHRAWAN_2082,VARIANCE,18082.848749279234,
ADMINISTRATIVE EXPENSES,,AGM Expenses,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,F.
ADMINISTRATIVE EXPENSES,,Meeting Allowance,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
ADMINISTRATIVE EXPENSES,,Audit Fee - Internal,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
ADMINISTRATIVE EXPENSES,,ISO 27001:200 Certification,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
ADMINISTRATIVE EXPENSES,,Audit Fee - Statutory,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
ADMINISTRATIVE EXPENSES,,Tax Audit Fee,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
ADMINISTRATIVE EXPENSES,,Insurance Expenses,LINE,2082/83,SHRAWAN_2082,VARIANCE,9333.83983235486,
ADMINISTRATIVE EXPENSES,,Electricity Expenses,LINE,2082/83,SHRAWAN_2082,VARIANCE,-11906.069166666653,
ADMINISTRATIVE EXPENSES,,Security Guard Expenses,LINE,2082/83,SHRAWAN_2082,VARIANCE,-5408.5,
ADMINISTRATIVE EXPENSES,,Outsourcing Cost (Kitchen Staff),LINE,2082/83,SHRAWAN_2082,VARIANCE,-1860.7099999999991,
ADMINISTRATIVE EXPENSES,,Printing and Stationery,LINE,2082/83,SHRAWAN_2082,VARIANCE,15609.228916666667,
ADMINISTRATIVE EXPENSES,,Fuel and Lubricants,LINE,2082/83,SHRAWAN_2082,VARIANCE,20858.62318583334,
ADMINISTRATIVE EXPENSES,,Subtotal,LINE,2082/83,SHRAWAN_2082,VARIANCE,26626.412768188216,
ADMINISTRATIVE EXPENSES,,Repair and Maintenance,LINE,2082/83,SHRAWAN_2082,VARIANCE,8627.259833333337,
ADMINISTRATIVE EXPENSES,,Office Rent,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
ADMINISTRATIVE EXPENSES,,Other Expenses,LINE,2082/83,SHRAWAN_2082,VARIANCE,93747.98574781851,
ADMINISTRATIVE EXPENSES,,Subtotal (G),LINE,2082/83,SHRAWAN_2082,VARIANCE,129001.65834934007,
Human Resource Cost,,"Staff Expenses (Salary, Allowances, Provident Fund and Gratuity)",LINE,2082/83,SHRAWAN_2082,VARIANCE,-384555.6100000008,G.
Human Resource Cost,,Training Related Expenses,LINE,2082/83,SHRAWAN_2082,VARIANCE,485.6405999999697,
Human Resource Cost,,Staff Refreshment,LINE,2082/83,SHRAWAN_2082,VARIANCE,29847.83067065887,
Human Resource Cost,,Subtotal (H),LINE,2082/83,SHRAWAN_2082,VARIANCE,-354222.13872934197,
Financial Overhead,,Bank Charges,LINE,2082/83,SHRAWAN_2082,VARIANCE,-34868.16714166664,H.
Financial Overhead,,Subtotal (I),LINE,2082/83,SHRAWAN_2082,VARIANCE,-34868.16714166664,
Business Promotion,,User activation and engagement campaign - Card (Pegged with UPI Incentive),LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,I.
Business Promotion,,Digital Literacy/Financial Literacy,LINE,2082/83,SHRAWAN_2082,VARIANCE,0.0,
Business Promotion,,Others,LINE,2082/83,SHRAWAN_2082,VARIANCE,11900.905041636724,
Business Promotion,,Subtotal (J),LINE,2082/83,SHRAWAN_2082,VARIANCE,11900.905041636724,
CARD SEGMENT,I. SCT UPI CARD,Card Purchase Cost (UPI Debit Card),LINE,2082/83,BHADRA_2082,BUDGET,920400.0,
CARD SEGMENT,I. SCT UPI CARD,"Service Fee to UPI (Dispute Management, Connectivity and Royalty)",LINE,2082/83,BHADRA_2082,BUDGET,377113.73223150003,
CARD SEGMENT,I. SCT UPI CARD,Card Personalization Cost to Lead,LINE,2082/83,BHADRA_2082,BUDGET,105600.0,
CARD SEGMENT,I. SCT UPI CARD,SMS Cost,LINE,2082/83,BHADRA_2082,BUDGET,36720.0,
CARD SEGMENT,I. SCT UPI CARD,Annual Maintenance Cost - Card Printing Machine,LINE,2082/83,BHADRA_2082,BUDGET,50000.0,
CARD SEGMENT,I. SCT UPI CARD,Subtotal (A),LINE,2082/83,BHADRA_2082,BUDGET,1489833.7322315,
SMARTQR SEGMENT,,DC - Cloud Cost,LINE,2082/83,BHADRA_2082,BUDGET,64685.0,B
SMARTQR SEGMENT,,SMS Cost,LINE,2082/83,BHADRA_2082,BUDGET,97200.0,
SMARTQR SEGMENT,,Annual Maintenance Cost (Smart QR Switch),LINE,2082/83,BHADRA_2082,BUDGET,300000.0,
SMARTQR SEGMENT,,Subtotal (B),LINE,2082/83,BHADRA_2082,BUDGET,461885.0,
SMARTBANKING SEGMENT,,Sharing of Commission on SmartBanking,LINE,2082/83,BHADRA_2082,BUDGET,0.0,C
SMARTBANKING SEGMENT,,Subtotal (C),LINE,2082/83,BHADRA_2082,BUDGET,0.0,
